Nf,a,S,lmin,alpha,D,C,,,
107,1.74,24,0.1,0.6003496416,0.74,86.81,,,"Data from Table 2 in Bonnet et al., 2001"
121,2.11,25,0.1,0.4170310009,1.11,45.46,,,
3499,1.88,2.70E+11,1.00E+03,4.98E-06,0.88,0.02,,,
120,0.9,8.25E+07,40,-1.01E-07,-0.10,0.00,,,
101,1,2.62E+07,57,0.00E+00,0.00,#DIV/0!,,,
300,1.76,,7.00E+03,#DIV/0!,0.76,#DIV/0!,,,
380,1.9,3.43E+03,3,2.68E-01,0.90,113.06,,,
350,2.1,1.26E+08,220,1.15E-03,1.10,0.37,,,
1000,3.2,1.60E+09,380,6.51E-01,2.20,296.08,,,
1000,2.1,1.65E+10,2.00E+03,2.85E-04,1.10,0.26,,,
800,2.2,2.50E+01,6.00E-02,1.31E+00,1.20,875.03,,,
380,2.1,,2.50E+03,#DIV/0!,1.10,#DIV/0!,,,
1700,2.02,1.00E+10,1.00E+03,1.99E-04,1.02,0.33,,,
260,1.3,8.75E+03,1.00E+00,8.91E-03,0.30,7.73,,,
100,1.8,2.10E+03,1.00E+00,3.81E-02,0.80,4.76,,,
873,2.64,3.40E+01,5.00E-03,7.09E-03,1.64,3.77,,,
320,2.61,2.07E+07,4.00E+01,9.45E-03,1.61,1.88,,,
50,1.67,2.90E+07,7.00E+01,1.99E-05,0.67,0.00,,,
180,1.97,2.80E+08,3.00E+02,1.58E-04,0.97,0.03,,,
400,2.21,1.20E+08,4.00E+01,3.50E-04,1.21,0.12,,,
250,2.11,2.50E+11,4.50E+03,1.26E-05,1.11,0.00,,,
400,2.84,2.90E+11,5.50E+03,1.94E-02,1.84,4.21,,,
70,2.67,3.60E+09,1.60E+03,7.28E-03,1.67,0.31,,,
150,2.66,5.10E+09,1.25E+03,6.75E-03,1.66,0.61,,,
200,3.07,6.20E+09,1.00E+03,1.08E-01,2.07,10.46,,,
1034,2.51,8.70E+07,1.00E+01,5.81E-04,1.51,0.40,,,
40,1.6,2.00E+04,6.00E-02,2.22E-04,0.60,0.01,,,
318,2.42,1.69E+08,7.00E+01,1.11E-03,1.42,0.25,,,
291,2.69,1.69E+08,7.00E+01,3.82E-03,1.69,0.66,,,
78,2.1,1.69E+08,1.00E+02,8.05E-05,1.10,0.01,,,
218,2.02,1.00E+00,2.00E-02,4.11E+00,1.02,878.95,,,
111,3.04,8.40E+07,2.00E+02,1.33E-01,2.04,7.25,,,
470,1.8,1.17E+04,6.00E-02,3.38E-03,0.80,1.99,,,
417,2.18,6.00E+07,4.00E+01,6.37E-04,1.18,0.23,,,
201,2.4,3.00E-01,1.50E-04,4.16E-03,1.40,0.60,,,
100,2.4,6.00E+08,7.00E+02,2.24E-03,1.40,0.16,,,
1034,2.36,8.70E+07,1.00E+01,3.70E-04,1.36,0.28,,,
450,2.18,2.20E+08,7.00E+01,3.63E-04,1.18,0.14,,,
350,2.75,1.50E+09,1.80E+02,3.61E-03,1.75,0.72,,,
300,2.37,,1.00E+02,#DIV/0!,1.37,#DIV/0!,,,